Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Even,0.21,0.49,1.88,0.18,10.2,0.19,2.74,0.37,5.85,0.16,1.4,0.83,0.45,65.11,9.72,0.21
Evenk,0.44,0.5,1.55,0.72,6.11,0.09,2.69,0.33,4.32,0.05,0.68,0.69,0.5,65.79,15.17,0.37
Even,0.39,0.28,0.04,0,20.83,0,0.34,0.42,2.18,1.08,0,0.18,0.27,63.86,10.11,0
Even,1.05,0.92,0.59,0,10.12,0,0.95,0.04,2.75,0.18,0,0.14,0.04,69.68,13.53,0
Filipino,0,0.28,0.21,2.45,0.02,0.34,1.49,0.04,1.34,0.24,1.15,0.49,4.02,5.14,81.35,1.44
Finn,1.01,0.1,19.88,0.67,0.67,0.21,12.54,0.32,33.39,0.09,19.03,0.1,0.26,7.95,0.46,3.31
Finn,1,0.2,19.6,1.16,0.57,0.28,12.49,0.3,33.21,0.24,20.39,0.13,0.19,6.47,0.4,3.38
Finn,0.91,0.05,22.78,0.14,1.34,0.49,13.33,0.06,33.82,0,18.35,0.85,0.11,6.72,1.04,0
Finn,1.52,0.41,20.94,1.3,0.34,0,14.68,0.35,32.74,0,22.37,0.56,1.05,3.74,0,0
Finn,1.54,0,22.13,0,0.76,0.11,13.56,0.34,33.9,0,19.83,0,0.48,7.07,0,0.29
Finn,0.36,0.43,17.95,0.31,1.33,0.28,14.83,0.6,38.43,0.49,17.49,0.58,0.28,6.27,0.38,0
Forest-Nenets,4.17,0,9.64,3.53,7.41,0,3.38,0,12.97,0,0,0,0.29,55.38,2.41,0.83
French,0.36,0.2,21.9,0.48,0.18,0.33,17.27,0.25,22.93,0.5,33.08,0.99,0.44,0.38,0.45,0.27
French,0.18,0.25,18.87,0.68,1.14,0.34,20.95,0.19,22.94,1.29,30.04,1.91,0.55,0.23,0.29,0.14
French,0.51,0.48,19.23,0.97,0.38,0.07,20.68,0.22,22.72,1.36,30.01,1.29,0.39,0.32,1.09,0.29
French,0.37,0.47,24.84,0.48,0.31,0.32,6.54,0.11,16.74,0.68,46.27,1.28,0.26,0.01,0.88,0.44
French,0.68,0.37,21.95,1.8,0.34,0.22,17.38,0.13,25.29,0.21,29.53,1.01,0.22,0.6,0.16,0.11
Gadaba,0,0.81,0,47.94,1.57,5.32,0,1.98,0,0.67,0.72,0.84,3.24,2.8,33.16,0.95
Gagauz,0.78,0.54,14.08,0.53,0.25,0.32,32.72,0.47,17.01,4.86,24.23,1.71,0.76,1.16,0.11,0.48
Gambian,0.24,0.4,0.16,0.64,0.2,0.38,0.26,1.98,0.05,0.43,0.42,3.48,0.14,0.36,0.28,90.58
Garo,0.43,0.86,0,17.01,1.53,1.77,0,0.66,0.11,0.35,0.2,0.29,1.2,13.97,60.77,0.85
Georgian,0.19,0.41,14.13,8.25,0.26,0.35,57.76,0.12,1.07,5.32,9.78,0.62,0.33,0.81,0.46,0.14
Georgian_Abkhazia,1.52,0,13.71,9.19,0,0,56.1,0,0,5.03,12.3,1.49,0.07,0,0,0.59
Jew,0.95,0.03,7.73,5.58,0.2,0.28,60.06,0.73,0.58,10.57,9.89,1.75,0.89,0.14,0.35,0.27
Jew,0.74,0.28,7.35,7.22,0.12,0.14,51.82,2.09,1.38,12.18,12.3,3.61,0.4,0.13,0.24,0
Georgian,0.42,0,15.24,8.47,0.02,0.51,56.94,1.39,0,5.95,9.74,0,0,1.32,0,0
Georgian,0.16,0.22,11.72,7.17,0.12,0.71,58.37,0.14,0.52,5.94,12.02,1.11,0.48,0.93,0.17,0.22
Georgian,0.31,0.43,16.04,5.14,0.21,0.27,61.76,0.08,2.35,2.24,8.52,0.33,0.38,0.91,0.35,0.68
Georgian,0.49,0.76,15.85,7.97,0.69,0.45,58.46,0.28,1.41,4.29,7.43,0,0.06,1.21,0.53,0.12
Georgian,0.23,0.35,17.07,3.25,0,0.25,67.87,0,0,1.48,6.29,0,0.23,0.16,1.44,1.38
Georgians,0.26,0.3,15.42,6.3,0.02,0.28,59.3,0.01,1.8,3.51,8.17,0.1,0.19,1.39,1.06,1.85
German,0.45,0.5,19.6,1.51,0.36,0.21,19.26,0.11,27.4,0.67,25.71,0.61,0.35,2.04,0.1,1.12
German_Lipsian,0.59,0.27,20.22,0.93,0.14,0.6,21.18,0.22,27.55,0.3,26.02,0.7,0.14,0.87,0.06,0.2
German,0.18,0.02,19.93,0.86,0.01,0,21.15,0.12,24.31,0,31.38,1.78,0.26,0,0,0
German,0.51,0.2,19.5,1.16,0.27,0.17,18.81,0.36,27.37,0.39,25.79,0.55,0.44,0.97,0.41,3.1
German,0.66,0.41,17.75,0.97,0.19,0.26,21.55,0.16,24.47,0.82,27.08,1.03,0.58,0.77,0.46,2.84
Gond,1.1,0.49,0.46,58.7,0.61,4.13,2.6,1.37,0.99,0.31,0.84,1.9,3.27,2.39,20.12,0.78
Great_Andamanese,1.07,1.29,0,36.65,2.17,6.33,0.99,2.46,1.4,1.56,1.55,0.67,4.65,7.31,31.5,0.4
Greek,0.32,0.44,13.52,0.55,0.37,0.17,35.49,0.48,13.66,5.1,26.49,2.04,0.43,0.44,0.26,0.23
Greek,0.06,0.7,13.75,0.8,0.48,0.5,39,0.36,12.76,5.68,23.02,1.2,0.31,0.75,0.25,0.39
Greek,0.07,0.63,12.46,1.77,0.36,0.09,35.73,0.63,13.57,5.89,25.62,1.82,0.46,0.55,0.18,0.16
Greek,0.86,0.25,11.88,4.42,0,0,45.9,0,8.09,5.66,16.7,1.7,0.27,2.35,0.61,1.32
Greek,0.6,0.26,13.12,0.19,0.38,0.34,36.23,0.29,14.39,3.22,27.41,1.88,0.4,0.68,0.4,0.2
Greek,0.67,0.18,11.51,0.43,0.14,0.26,43.9,0.43,9.94,5.27,23.96,1.39,0.68,0.54,0.49,0.2
Greek,0.35,0.23,12.45,0.45,0.32,0.3,41.53,0.35,9.88,4.44,25.86,1.59,0.48,0.56,0.83,0.37
GujaratiA,1.04,0.44,7.14,60.2,1.2,0.77,15.49,0.56,5.01,0.1,2.87,0.22,1.28,0.65,2.85,0.18
GujaratiB,0.71,0.27,5.37,65.33,0.29,1.08,12.31,0.66,3.33,0,1.83,0.29,1.42,1.38,5.48,0.25
GujaratiC,0.58,0.12,2.58,73.29,0.14,1.59,7.16,0.43,1.03,0.15,2.96,0.48,1.58,1.21,6.68,0.02
GujaratiD,0.44,0.24,0.17,76.42,0.18,1.92,5.87,0.58,0.83,0.07,1.95,0.7,1.38,0.88,8.1,0.27
Gupta,0.29,0,1.96,65.15,0.58,3.69,9.94,1.53,1.43,0,1.19,0.68,1.98,0.64,10.57,0.37
Hadza,0.35,21.3,0,5.37,0.44,0.29,0,45.64,1.1,2.13,0.17,0,0.52,0,1.55,21.15
Hakas,2.88,0.48,13.4,5.07,4.46,0.35,6.57,0.39,11.16,0.02,3.96,0.08,0.21,34.08,16.3,0.6
